,strdatetime,utcdatetime,close,MA
15305,2017-06-26T13:35:00+08:00,1498455300.0,6537.0,6537.25
15306,2017-06-26T13:36:00+08:00,1498455360.0,6537.0,6537.3
15307,2017-06-26T13:37:00+08:00,1498455420.0,6537.0,6537.3
15308,2017-06-26T13:38:00+08:00,1498455480.0,6536.0,6537.25
15309,2017-06-26T13:39:00+08:00,1498455540.0,6535.0,6537.2
15310,2017-06-26T13:40:00+08:00,1498455600.0,6534.0,6537.1
15311,2017-06-26T13:41:00+08:00,1498455660.0,6534.0,6537.0
15312,2017-06-26T13:42:00+08:00,1498455720.0,6533.0,6536.85
15313,2017-06-26T13:43:00+08:00,1498455780.0,6532.0,6536.55
15314,2017-06-26T13:44:00+08:00,1498455840.0,6533.0,6536.25
15315,2017-06-26T13:45:00+08:00,1498455900.0,6533.0,6536.0
15316,2017-06-26T13:46:00+08:00,1498455960.0,6533.0,6535.75
15317,2017-06-26T13:47:00+08:00,1498456020.0,6535.0,6535.55
15318,2017-06-26T13:48:00+08:00,1498456080.0,6536.0,6535.5
15319,2017-06-26T13:49:00+08:00,1498456140.0,6536.0,6535.35
15320,2017-06-26T13:50:00+08:00,1498456200.0,6537.0,6535.3
15321,2017-06-26T13:51:00+08:00,1498456260.0,6536.0,6535.25
15322,2017-06-26T13:52:00+08:00,1498456320.0,6536.0,6535.25
15323,2017-06-26T13:53:00+08:00,1498456380.0,6536.0,6535.15
15324,2017-06-26T13:54:00+08:00,1498456440.0,6537.0,6535.15
15325,2017-06-26T13:55:00+08:00,1498456500.0,6538.0,6535.2
15326,2017-06-26T13:56:00+08:00,1498456560.0,6535.0,6535.1
15327,2017-06-26T13:57:00+08:00,1498456620.0,6534.0,6534.95
15328,2017-06-26T13:58:00+08:00,1498456680.0,6533.0,6534.8
15329,2017-06-26T13:59:00+08:00,1498456740.0,6533.0,6534.7
15330,2017-06-26T14:00:00+08:00,1498456800.0,6533.0,6534.65
15331,2017-06-26T14:01:00+08:00,1498456860.0,6535.0,6534.7
15332,2017-06-26T14:02:00+08:00,1498456920.0,6535.0,6534.8
15333,2017-06-26T14:03:00+08:00,1498456980.0,6534.0,6534.9
15334,2017-06-26T14:04:00+08:00,1498457040.0,6534.0,6534.95
15335,2017-06-26T14:05:00+08:00,1498457100.0,6535.0,6535.05
15336,2017-06-26T14:06:00+08:00,1498457160.0,6534.0,6535.1
15337,2017-06-26T14:07:00+08:00,1498457220.0,6534.0,6535.05
15338,2017-06-26T14:08:00+08:00,1498457280.0,6534.0,6534.95
15339,2017-06-26T14:09:00+08:00,1498457340.0,6534.0,6534.85
15340,2017-06-26T14:10:00+08:00,1498457400.0,6533.0,6534.65
15341,2017-06-26T14:11:00+08:00,1498457460.0,6534.0,6534.55
15342,2017-06-26T14:12:00+08:00,1498457520.0,6534.0,6534.45
15343,2017-06-26T14:13:00+08:00,1498457580.0,6535.0,6534.4
15344,2017-06-26T14:14:00+08:00,1498457640.0,6535.0,6534.3
15345,2017-06-26T14:15:00+08:00,1498457700.0,6534.0,6534.1
15346,2017-06-26T14:16:00+08:00,1498457760.0,6535.0,6534.1
15347,2017-06-26T14:17:00+08:00,1498457820.0,6534.0,6534.1
15348,2017-06-26T14:18:00+08:00,1498457880.0,6534.0,6534.15
15349,2017-06-26T14:19:00+08:00,1498457940.0,6534.0,6534.2
15350,2017-06-26T14:20:00+08:00,1498458000.0,6534.0,6534.25
15351,2017-06-26T14:21:00+08:00,1498458060.0,6535.0,6534.25
15352,2017-06-26T14:22:00+08:00,1498458120.0,6537.0,6534.35
15353,2017-06-26T14:23:00+08:00,1498458180.0,6537.0,6534.5
15354,2017-06-26T14:24:00+08:00,1498458240.0,6538.0,6534.7
